CATEGORY,SUBCATEGORY,Week number,Month number,Week day,QUANTITY,BONUSES_SPENT,COST (without bonuses),BONUSES_RECIVE
2,2,38,10,Sun,80.0,502.41983,6370.98,159.27
2,2,39,10,Fri,68.0,624.38983,6105.42,152.64
2,2,39,10,Mon,52.0,480.89987,4532.34,113.31
2,2,39,10,Sat,68.0,533.3798,5852.55,146.31
2,2,39,10,Sun,63.0,473.9898,5877.81,146.95
2,2,39,10,Thu,40.0,297.9799,3567.69,89.19
2,2,39,10,Tue,50.0,486.02985,5174.6997,129.37
2,2,39,10,Wed,52.0,494.10986,5048.88,126.22
2,2,40,10,Fri,69.0,554.14984,6634.53,165.86
2,2,40,10,Mon,30.0,313.29987,3662.7,91.57
2,2,40,10,Sat,90.0,670.7198,7081.1997,177.03
2,2,40,10,Sun,62.0,659.9398,5924.19,148.10
2,2,40,10,Thu,46.0,423.17987,5197.95,129.95
2,2,40,10,Tue,54.0,475.33987,5079.36,126.98
2,2,40,10,Wed,40.0,324.18988,4559.4897,113.99
2,2,41,10,Fri,97.0,712.36975,7992.4497,199.81
2,2,41,10,Mon,46.0,410.76987,4720.8,118.02
2,2,41,10,Sat,106.0,653.5698,7832.6997,195.82
2,2,41,10,Sun,96.0,639.75977,7911.69,197.79
2,2,41,10,Thu,72.0,565.15985,6064.26,151.61
2,2,41,10,Tue,48.0,430.29984,5508.2397,137.71
2,2,41,10,Wed,60.0,465.25986,5016.84,125.42
2,2,42,10,Fri,73.0,583.70984,6984.3,174.61
2,2,42,10,Mon,73.0,665.8198,6681.36,167.03
2,2,42,10,Sat,88.0,672.6698,6989.64,174.74
2,2,42,10,Sun,80.0,514.5099,5990.61,149.77
2,2,42,10,Thu,60.0,377.63983,5436.48,135.91
2,2,42,10,Tue,59.0,495.45987,5773.56,144.34
2,2,42,10,Wed,41.0,321.9199,4369.14,109.23
2,2,43,10,Mon,56.0,422.63986,5124.42,128.11
2,2,43,10,Tue,51.0,346.9499,4605.9897,115.15
2,65,38,10,Sun,22.0,63.840054,1346.76,33.67
2,65,39,10,Fri,26.0,29.480053,1377.96,34.45
2,65,39,10,Mon,18.0,-14.75996,1094.76,27.37
2,65,39,10,Sat,18.0,-46.519966,997.44,24.94
2,65,39,10,Sun,19.0,13.640041,1103.32,27.58
2,65,39,10,Thu,17.0,50.240036,930.28,23.26
2,65,39,10,Tue,14.0,-10.479958,1036.92,25.92
2,65,39,10,Wed,15.0,52.88004,992.4,24.81
2,65,40,10,Fri,20.0,30.40004,1178.76,29.47
2,65,40,10,Mon,7.0,3.6400223,554.04,13.85
2,65,40,10,Sat,19.0,-0.039958954,1014.56,25.36
2,65,40,10,Sun,17.0,38.600044,987.64,24.69
2,65,40,10,Thu,6.0,19.440025,638.04004,15.95
2,65,40,10,Tue,14.0,30.04004,916.96,22.92
2,65,40,10,Wed,17.0,20.920048,1058.8,26.47
2,65,41,10,Fri,21.0,39.56004,1103.32,27.58
2,65,41,10,Mon,12.0,-15.879971,739.92,18.50
2,65,41,10,Sat,26.0,34.480057,1346.76,33.67
2,65,41,10,Sun,18.0,33.400043,1192.08,29.80
2,65,41,10,Thu,13.0,10.280037,828.2,20.71
2,65,41,10,Tue,15.0,25.400036,899.36,22.48
2,65,41,10,Wed,19.0,37.560055,1209.2001,30.23
2,65,42,10,Fri,15.0,23.520042,992.4,24.81
2,65,42,10,Mon,18.0,5.92004,1099.04,27.48
2,65,42,10,Sat,22.0,64.80005,1276.08,31.90
2,65,42,10,Sun,21.0,31.720047,1236.12,30.90
2,65,42,10,Thu,27.0,89.640045,1369.12,34.23
2,65,42,10,Tue,23.0,-3.2399483,1164.96,29.12
2,65,42,10,Wed,11.0,-13.719971,811.08,20.28
2,65,43,10,Mon,7.0,-8.039978,420.76,10.52
2,65,43,10,Tue,9.0,27.160027,642.32,16.06
3,3,38,10,Sun,1.0,-4.590027,529.86,13.25
3,3,39,10,Fri,1.0,14.359985,534.89,13.37
3,3,39,10,Mon,2.0,9.7699585,1064.75,26.62
3,3,39,10,Sat,2.0,23.689941,1064.75,26.62
3,3,39,10,Sun,5.0,23.839844,2654.33,66.36
3,3,39,10,Thu,2.0,23.689941,1064.75,26.62
3,3,39,10,Tue,2.0,18.659912,1059.72,26.49
3,3,39,10,Wed,4.0,33.4599,2129.5,53.24
3,3,40,10,Fri,4.0,23.399841,2119.44,52.99
3,3,40,10,Mon,1.0,9.329956,529.86,13.25
3,3,40,10,Sat,4.0,14.069885,1589.58,39.74
3,3,40,10,Tue,1.0,-4.590027,529.86,13.25
3,3,41,10,Mon,2.0,18.659912,1059.72,26.49
3,3,41,10,Sat,1.0,9.329956,529.86,13.25
3,3,41,10,Thu,4.0,19.539917,2129.5,53.24
3,3,42,10,Sat,1.0,0.44000244,534.89,13.37
3,3,42,10,Sun,1.0,9.329956,529.86,13.25
3,3,42,10,Thu,3.0,33.019897,1594.61,39.87
3,3,42,10,Tue,1.0,9.329956,529.86,13.25
3,3,42,10,Wed,1.0,9.329956,529.86,13.25
3,3,43,10,Mon,2.0,-4.1500244,1064.75,26.62
3,3,43,10,Tue,7.0,47.529785,3719.08,92.98
3,119,38,10,Sun,4.0,103.40015,4996.5,124.91
3,119,39,10,Fri,0.0,0.0,2315.78,57.89
3,119,39,10,Mon,3.0,-133.95996,2315.78,57.89
3,119,39,10,Sat,3.0,226.44019,3961.6501,99.04
3,119,39,10,Thu,4.0,97.02014,4996.5,124.91
3,119,39,10,Tue,1.0,156.28003,1320.55,33.01
3,119,39,10,Wed,2.0,195.90002,2518.06,62.95
3,119,40,10,Fri,1.0,162.66003,1320.55,33.01
3,119,40,10,Mon,3.0,109.78015,3838.61,95.97
3,119,40,10,Sat,3.0,97.02014,6154.39,153.86
3,119,40,10,Sun,2.0,-6.380005,2315.78,57.89
3,119,40,10,Thu,3.0,107.94006,3715.57,92.89
3,119,40,10,Tue,2.0,68.32007,2518.06,62.95
3,119,40,10,Wed,2.0,189.52002,2518.06,62.95
3,119,41,10,Fri,4.0,35.08008,4794.22,119.86
3,119,41,10,Mon,1.0,39.619995,1197.51,29.94
3,119,41,10,Sat,8.0,-74.35986,9584.26,239.61
3,119,41,10,Sun,3.0,61.940063,3675.9502,91.90
3,119,41,10,Thu,2.0,-48.339966,2395.02,59.88
3,119,41,10,Tue,4.0,-228.29993,4671.18,116.78
3,119,41,10,Wed,4.0,354.02014,5119.54,127.99
3,119,42,10,Mon,3.0,103.40015,3838.61,95.97
3,119,42,10,Sat,4.0,141.18005,4913.08,122.83
3,119,42,10,Sun,1.0,35.08008,1320.55,33.01
3,119,42,10,Wed,2.0,162.66003,2478.44,61.96
3,119,43,10,Tue,3.0,-13.259888,3715.57,92.89
3,448,38,10,Sun,2.0,108.22998,2161.77,54.04
3,448,39,10,Fri,4.0,180.27979,4474.17,111.85
3,448,39,10,Mon,4.0,185.17993,4382.96,109.57
3,448,39,10,Sat,3.0,51.619873,3256.47,81.41
3,448,39,10,Sun,9.0,73.43994,9892.41,247.31
3,448,39,10,Thu,1.0,-82.18994,1035.28,25.88
3,448,39,10,Tue,5.0,157.50977,5568.87,139.22
3,448,39,10,Wed,7.0,140.39966,7758.2695,193.96
3,448,40,10,Fri,7.0,46.379883,6512.94,162.82
3,448,40,10,Mon,3.0,-126.92993,3197.05,79.93
