CATEGORY,SUBCATEGORY,Week number,Month number,Week day,QUANTITY,BONUSES_SPENT,COST (without bonuses),BONUSES_RECIVE
2,2,25,7,Sat,70.0,1339.4199,5061.63,126.54
2,2,25,7,Sun,59.0,1333.2299,4946.21,123.66
2,2,26,7,Fri,65.0,1211.7,4963.93,124.10
2,2,26,7,Mon,42.0,1078.26,4398.85,109.97
2,2,26,7,Sat,49.0,1087.4299,4099.32,102.48
2,2,26,7,Sun,53.0,1081.3999,4377.36,109.43
2,2,26,7,Thu,54.0,1176.3599,4566.7197,114.17
2,2,26,7,Tue,45.0,1197.44,4627.44,115.69
2,2,26,7,Wed,46.0,982.25995,3850.74,96.27
2,2,27,7,Fri,72.0,1366.09,5383.4,134.58
2,2,27,7,Mon,61.0,1350.1499,4927.7197,123.19
2,2,27,7,Sat,62.0,1194.2999,4629.69,115.74
2,2,27,7,Sun,70.0,1523.83,5818.34,145.46
2,2,27,7,Thu,63.0,1179.2,4628.19,115.70
2,2,27,7,Tue,37.0,1232.44,4628.19,115.70
2,2,27,7,Wed,62.0,1207.1799,5038.62,125.97
2,2,28,7,Fri,69.0,1349.1599,5135.57,128.39
2,2,28,7,Mon,45.0,872.74,3508.98,87.72
2,2,28,7,Sat,68.0,1243.84,4740.61,118.52
2,2,28,7,Sun,74.0,1181.24,4555.0,113.88
2,2,28,7,Thu,76.0,1442.3499,5478.83,136.97
2,2,28,7,Tue,40.0,1198.73,4553.5,113.84
2,2,28,7,Wed,45.0,1184.96,4269.44,106.74
2,2,29,7,Fri,63.0,1319.6,5230.25,130.76
2,2,29,7,Mon,48.0,988.31995,4358.1,108.95
2,2,29,7,Sat,60.0,1050.5599,4341.13,108.53
2,2,29,7,Sun,60.0,1292.1799,5283.45,132.09
2,2,29,7,Thu,49.0,1214.1399,4738.36,118.46
2,2,29,7,Tue,47.0,985.83997,4022.3599,100.56
2,2,29,7,Wed,76.0,1469.71,5496.57,137.41
2,2,30,7,Mon,51.0,1030.1199,4021.6099,100.54
2,65,25,7,Sat,13.0,206.11,1287.38,32.18
2,65,25,7,Sun,15.0,171.65,1542.6799,38.57
2,65,26,7,Fri,16.0,227.20001,1785.36,44.63
2,65,26,7,Mon,15.0,200.28,1462.06,36.55
2,65,26,7,Sat,14.0,295.31,1889.7001,47.24
2,65,26,7,Sun,13.0,145.65,1149.04,28.73
