CATEGORY,SUBCATEGORY,Week number,Month number,Week day,QUANTITY,BONUSES_SPENT,COST (without bonuses),BONUSES_RECIVE
2,2,43,11,Fri,71.0,1188.7,5673.17,141.83
2,2,43,11,Sat,70.0,1494.22,6766.16,169.15
2,2,43,11,Sun,75.0,1512.36,7140.79,178.52
2,2,43,11,Thu,42.0,1228.49,5093.17,127.33
2,2,43,11,Wed,47.0,1123.73,5141.68,128.54
2,2,44,11,Fri,68.0,1194.1,5322.08,133.05
2,2,44,11,Mon,66.0,1586.5499,6982.5,174.56
2,2,44,11,Sat,92.0,1829.86,8231.26,205.78
2,2,44,11,Sun,97.0,1562.73,7146.36,178.66
2,2,44,11,Thu,43.0,967.11,4589.53,114.74
2,2,44,11,Tue,48.0,1208.8,5335.74,133.39
2,2,44,11,Wed,40.0,1054.11,4755.7397,118.89
2,2,45,11,Fri,61.0,1064.14,5077.72,126.94
2,2,45,11,Mon,52.0,1349.22,6026.78,150.67
2,2,45,11,Sat,81.0,1539.08,7093.71,177.34
2,2,45,11,Sun,96.0,1609.63,7133.96,178.35
2,2,45,11,Thu,70.0,1350.5399,5839.38,145.98
2,2,45,11,Tue,57.0,1123.24,4889.06,122.23
2,2,45,11,Wed,73.0,1378.37,6229.63,155.74
2,2,46,11,Fri,90.0,1441.7999,6540.3,163.51
2,2,46,11,Mon,54.0,883.22,4456.21,111.41
2,2,46,11,Sat,122.0,1745.83,8236.83,205.92
2,2,46,11,Sun,99.0,1973.96,8722.5,218.06
2,2,46,11,Thu,55.0,914.94995,4472.92,111.82
2,2,46,11,Tue,66.0,1403.19,5867.4,146.68
2,2,46,11,Wed,54.0,1267.14,5642.1,141.05
2,2,47,11,Mon,69.0,1260.13,5575.79,139.39
2,2,47,11,Thu,53.0,944.73,4472.92,111.82
2,2,47,11,Tue,47.0,1039.87,4755.7397,118.89
2,2,47,11,Wed,35.0,1022.99994,3975.94,99.40
2,65,43,11,Fri,14.0,156.07005,1050.0,26.25
2,65,43,11,Sat,15.0,182.56003,1072.16,26.80
2,65,43,11,Sun,27.0,240.16005,1540.79,38.52
2,65,43,11,Thu,11.0,202.47003,986.29004,24.66
2,65,43,11,Wed,15.0,210.73001,1146.95,28.67
2,65,44,11,Fri,26.0,220.04004,1465.39,36.63
2,65,44,11,Mon,18.0,164.91003,963.52,24.09
2,65,44,11,Sat,35.0,228.42004,1387.11,34.68
2,65,44,11,Sun,25.0,199.14003,1359.63,33.99
