CATEGORY,SUBCATEGORY,Week number,Month number,Week day,QUANTITY,BONUSES_SPENT,COST (without bonuses),BONUSES_RECIVE
2,2,34,9,Fri,65.0,1098.01,6156.3403,153.91
2,2,34,9,Sat,72.0,1326.64,6647.9,166.20
2,2,34,9,Sun,56.0,997.4,5144.49,128.61
2,2,35,9,Fri,77.0,1129.76,5552.93,138.82
2,2,35,9,Mon,52.0,864.76,4165.1,104.13
2,2,35,9,Sat,75.0,1173.78,6667.35,166.68
2,2,35,9,Sun,83.0,1461.31,6926.14,173.15
2,2,35,9,Thu,55.0,1048.9,4837.52,120.94
2,2,35,9,Tue,60.0,1222.93,5646.58,141.16
2,2,35,9,Wed,70.0,1058.63,6104.0703,152.60
2,2,36,9,Fri,64.0,1227.24,6046.46,151.16
2,2,36,9,Mon,57.0,1228.36,6246.41,156.16
2,2,36,9,Sat,69.0,1168.63,5644.97,141.12
2,2,36,9,Sun,81.0,1198.52,5950.33,148.76
2,2,36,9,Thu,61.0,984.47003,4813.98,120.35
2,2,36,9,Tue,52.0,1088.78,5102.75,127.57
2,2,36,9,Wed,34.0,923.07,4289.6,107.24
2,2,37,9,Fri,69.0,1065.8401,6270.31,156.76
2,2,37,9,Mon,45.0,983.19,4837.52,120.94
2,2,37,9,Sat,83.0,1452.89,7726.2803,193.16
2,2,37,9,Sun,89.0,1380.8401,6794.33,169.86
2,2,37,9,Thu,75.0,1207.64,6237.49,155.94
2,2,37,9,Tue,52.0,911.55,4846.44,121.16
2,2,37,9,Wed,59.0,941.43,5418.64,135.47
2,2,38,9,Fri,65.0,1157.23,6016.86,150.42
2,2,38,9,Mon,59.0,1094.1,5292.5303,132.31
2,2,38,9,Sat,67.0,1387.0,6627.22,165.68
2,2,38,9,Thu,52.0,960.86005,5279.52,131.99
2,2,38,9,Tue,65.0,1016.25006,5677.79,141.94
2,2,38,9,Wed,59.0,1031.09,5547.23,138.68
2,65,34,9,Fri,22.0,4.7299995,1227.83,30.70
2,65,34,9,Sat,26.0,93.15999,1957.4199,48.94
2,65,34,9,Sun,29.0,64.69997,1882.83,47.07
2,65,35,9,Fri,16.0,55.789986,1003.01,25.08
2,65,35,9,Mon,18.0,141.98999,1408.48,35.21
2,65,35,9,Sat,21.0,141.82997,1447.99,36.20
2,65,35,9,Sun,21.0,119.70998,1062.7999,26.57
2,65,35,9,Thu,16.0,-115.490005,1045.9,26.15
2,65,35,9,Tue,21.0,17.429989,1551.95,38.80
2,65,35,9,Wed,16.0,4.7299995,1041.47,26.04
2,65,36,9,Fri,12.0,11.459995,938.55994,23.46
2,65,36,9,Mon,18.0,74.32999,1183.66,29.59
2,65,36,9,Sat,26.0,54.54999,1306.85,32.67
2,65,36,9,Sun,17.0,0.9899864,1187.0399,29.68
2,65,36,9,Thu,19.0,55.099987,1164.4299,29.11
2,65,36,9,Tue,25.0,-6.9800034,1531.6699,38.29
2,65,36,9,Wed,16.0,22.959991,960.12,24.00
2,65,37,9,Fri,18.0,84.29999,1288.6699,32.22
2,65,37,9,Mon,10.0,92.71999,938.56,23.46
2,65,37,9,Sat,19.0,-13.160004,1243.6799,31.09
2,65,37,9,Sun,14.0,30.689995,1082.03,27.05
2,65,37,9,Thu,16.0,-4.1900063,1123.87,28.10
2,65,37,9,Tue,15.0,14.849998,1572.23,39.31
2,65,37,9,Wed,20.0,36.209976,1390.2999,34.76
2,65,38,9,Fri,25.0,-64.83002,1575.61,39.39
2,65,38,9,Mon,11.0,-50.719997,718.39996,17.96
2,65,38,9,Sat,20.0,115.88999,1449.0399,36.23
2,65,38,9,Thu,14.0,116.07999,895.67,22.39
2,65,38,9,Tue,11.0,102.479996,1120.49,28.01
2,65,38,9,Wed,24.0,107.15998,1164.4299,29.11
3,3,34,9,Fri,1.0,16.200012,572.45,14.31
3,3,34,9,Sat,2.0,-0.14001465,1112.5,27.81
3,3,34,9,Sun,2.0,0.0,556.25,13.91
3,3,35,9,Mon,1.0,-7.2799683,572.45,14.31
3,3,35,9,Sun,1.0,0.0,556.25,13.91
3,3,35,9,Tue,2.0,41.140015,597.39,14.93
3,3,35,9,Wed,2.0,17.660034,1153.64,28.84
3,3,36,9,Fri,1.0,-7.2799683,572.45,14.31
3,3,36,9,Mon,2.0,-23.549988,1112.5,27.81
3,3,36,9,Sat,2.0,58.73004,1194.78,29.87
3,3,36,9,Sun,1.0,16.130005,572.45,14.31
3,3,36,9,Thu,1.0,41.140015,597.39,14.93
3,3,36,9,Tue,1.0,16.130005,572.45,14.31
3,3,36,9,Wed,3.0,32.330017,1701.15,42.53
3,3,37,9,Fri,1.0,-23.47998,556.25,13.91
3,3,37,9,Mon,4.0,73.400024,1742.29,43.56
3,3,37,9,Sat,1.0,41.140015,597.39,14.93
3,3,37,9,Sun,1.0,0.0,556.25,13.91
3,3,37,9,Thu,1.0,41.140015,597.39,14.93
3,3,37,9,Tue,4.0,26.51007,2298.54,57.46
3,3,37,9,Wed,4.0,57.200012,2282.34,57.06
3,3,38,9,Fri,2.0,32.26001,1144.9,28.62
3,3,38,9,Mon,1.0,0.0,556.25,13.91
3,3,38,9,Sat,3.0,74.93005,1767.23,44.18
3,3,38,9,Thu,4.0,50.06006,1742.29,43.56
3,119,34,9,Fri,4.0,371.99,4038.85,100.97
3,119,34,9,Sat,3.0,196.34998,3919.05,97.98
3,119,34,9,Sun,4.0,255.0199,5336.2803,133.41
3,119,35,9,Fri,4.0,367.18982,5163.27,129.08
3,119,35,9,Mon,2.0,248.87,2674.83,66.87
3,119,35,9,Sun,1.0,125.75,1310.81,32.77
3,119,35,9,Tue,1.0,-41.110107,3799.25,94.98
3,119,35,9,Wed,2.0,-100.27002,2555.03,63.88
3,119,36,9,Fri,3.0,101.47986,3799.25,94.98
3,119,36,9,Mon,1.0,3.3199463,1244.22,31.11
3,119,36,9,Sat,1.0,-83.43005,1244.22,31.11
3,119,36,9,Sun,2.0,-100.27002,2555.03,63.88
3,119,36,9,Thu,3.0,12.0998535,3852.46,96.31
3,119,36,9,Tue,4.0,377.44995,5402.87,135.07
3,119,36,9,Wed,2.0,42.319946,2555.03,63.88
3,119,37,9,Fri,4.0,148.59998,5229.8604,130.75
3,119,37,9,Mon,2.0,-166.8601,2488.44,62.21
3,119,37,9,Sat,1.0,69.910034,1310.81,32.77
3,119,37,9,Sun,2.0,6.6398926,2488.44,62.21
3,119,37,9,Tue,1.0,69.910034,1310.81,32.77
3,119,37,9,Wed,1.0,69.910034,1310.81,32.77
3,119,38,9,Fri,1.0,36.369995,1364.02,34.10
3,119,38,9,Mon,1.0,125.75,1310.81,32.77
3,119,38,9,Sat,2.0,95.52991,2608.24,65.21
3,119,38,9,Thu,4.0,249.55994,3972.26,99.31
3,119,38,9,Tue,4.0,293.81995,5176.6504,129.42
3,119,38,9,Wed,2.0,39.68994,2608.24,65.21
3,448,34,9,Fri,3.0,230.02002,3251.9102,81.30
3,448,34,9,Sat,5.0,-28.109985,5303.19,132.58
3,448,34,9,Sun,4.0,26.449951,4277.55,106.94
3,448,35,9,Fri,7.0,543.8401,7628.0303,190.70
3,448,35,9,Mon,2.0,156.91003,2188.06,54.70
3,448,35,9,Sat,6.0,43.420044,6405.25,160.13
3,448,35,9,Sun,4.0,-219.44995,6192.05,154.80
3,448,35,9,Thu,2.0,67.45007,2188.06,54.70
3,448,35,9,Tue,2.0,-80.79004,2089.49,52.24
3,448,35,9,Wed,6.0,159.92004,5401.7603,135.04
3,448,36,9,Fri,4.0,210.55005,4551.1104,113.78
3,448,36,9,Mon,2.0,156.91003,2188.06,54.70
3,448,36,9,Sat,2.0,244.79004,2226.27,55.66
3,448,36,9,Sun,7.0,26.300049,7567.67,189.19
3,448,36,9,Thu,5.0,158.34009,5439.97,136.00
3,448,36,9,Tue,10.0,-115.00012,10507.811,262.70
3,448,36,9,Wed,8.0,402.3601,7764.81,194.12
3,448,37,9,Fri,2.0,145.44995,2226.27,55.66
3,448,37,9,Mon,6.0,165.43005,7567.67,189.19
3,448,37,9,Sat,3.0,69.80005,2051.28,51.28
3,448,37,9,Sun,1.0,277.3401,3388.69,84.72
3,448,37,9,Thu,4.0,213.67004,4315.76,107.89
3,448,37,9,Tue,6.0,101.430176,6602.39,165.06
3,448,37,9,Wed,3.0,500.27014,4512.9004,112.82
3,448,38,9,Mon,5.0,108.670044,5439.97,136.00
3,448,38,9,Sat,2.0,55.98999,2226.27,55.66
3,448,38,9,Thu,6.0,-79.359985,5341.4,133.53
3,448,38,9,Tue,1.0,23.439941,1063.85,26.60
3,448,38,9,Wed,8.0,293.09998,7605.88,190.15
3,851,34,9,Sat,1.0,358.18066,12015.57,300.39
3,851,34,9,Sun,1.0,41.420044,1573.52,39.34
3,851,35,9,Fri,2.0,940.32007,3147.04,78.68
3,851,35,9,Mon,1.0,10483.471,12015.57,300.39
3,851,35,9,Thu,1.0,0.0,674.62,16.87
3,851,35,9,Tue,32.0,-857.48,674.62,16.87
3,851,36,9,Fri,1.0,-10982.77,674.62,16.87
3,851,36,9,Sat,1.0,41.420044,1573.52,39.34
3,851,36,9,Sun,2.0,-9725.688,13589.09,339.73
3,851,36,9,Thu,1.0,41.420044,1573.52,39.34
3,851,37,9,Mon,1.0,358.18066,12015.57,300.39
3,851,37,9,Sat,1.0,-10083.869,1573.52,39.34
3,851,37,9,Tue,2.0,-10982.77,1349.24,33.73
3,851,37,9,Wed,1.0,-10982.77,674.62,16.87
3,851,38,9,Fri,1.0,0.0,674.62,16.87
3,851,38,9,Mon,1.0,898.9,1573.52,39.34
3,851,38,9,Tue,1.0,-10083.869,1573.52,39.34
4,4,34,9,Fri,8.0,107.58002,555.13,13.88
4,4,34,9,Sat,10.0,151.38002,936.07,23.40
4,4,34,9,Sun,14.0,168.05002,1084.13,27.10
4,4,35,9,Fri,13.0,226.18002,1051.48,26.29
4,4,35,9,Mon,5.0,45.30001,359.18002,8.98
4,4,35,9,Sat,17.0,180.82002,1084.13,27.10
4,4,35,9,Sun,14.0,158.36002,866.41003,21.66
4,4,35,9,Thu,4.0,44.08001,309.14,7.73
