CATEGORY,SUBCATEGORY,Week number,Month number,Week day,QUANTITY,BONUSES_SPENT,COST (without bonuses),BONUSES_RECIVE
2,2,47,12,Fri,50.0,634.61005,4558.36,113.96
2,2,47,12,Sat,85.0,803.57,5521.67,138.04
2,2,47,12,Sun,83.0,809.32,5853.03,146.33
2,2,48,12,Fri,90.0,962.04004,6807.03,170.18
2,2,48,12,Mon,55.0,659.21,4456.55,111.41
2,2,48,12,Sat,107.0,1188.4501,8284.01,207.10
2,2,48,12,Sun,90.0,960.96,7289.33,182.23
2,2,48,12,Thu,80.0,770.71,5523.39,138.08
2,2,48,12,Tue,60.0,721.63,5051.69,126.29
2,2,48,12,Wed,71.0,786.21,5490.73,137.27
2,2,49,12,Fri,122.0,1446.3401,9947.71,248.69
2,2,49,12,Mon,66.0,808.52,5851.74,146.29
2,2,49,12,Sat,125.0,1199.79,8577.98,214.45
2,2,49,12,Sun,111.0,1182.05,8488.92,212.22
2,2,49,12,Thu,71.0,817.34,5767.2603,144.18
2,2,49,12,Tue,88.0,904.76996,6763.34,169.08
2,2,49,12,Wed,85.0,959.29004,6487.56,162.19
2,2,50,12,Fri,167.0,1672.2001,11856.14,296.40
2,2,50,12,Mon,92.0,1071.1001,7892.92,197.32
2,2,50,12,Sat,225.0,1838.4501,12586.18,314.65
2,2,50,12,Sun,232.0,1960.3,13755.69,343.89
2,2,50,12,Thu,152.0,1551.0701,10787.58,269.69
2,2,50,12,Tue,92.0,1106.65,8211.1,205.28
2,2,50,12,Wed,117.0,1206.24,8059.62,201.49
2,2,51,12,Fri,289.0,2080.76,14637.96,365.95
2,2,51,12,Mon,172.0,1479.1,10522.08,263.05
2,2,51,12,Sat,379.0,2016.8,14227.39,355.68
2,2,51,12,Sun,246.0,1796.42,12666.36,316.66
2,2,51,12,Thu,211.0,1848.39,12832.63,320.82
2,2,51,12,Tue,160.0,1625.52,10944.97,273.62
2,2,51,12,Wed,183.0,1684.38,11968.55,299.21
2,65,47,12,Fri,5.0,21.970001,439.13,10.98
2,65,47,12,Sat,20.0,69.39001,1027.1799,25.68
2,65,47,12,Sun,14.0,20.15001,819.95996,20.50
2,65,48,12,Fri,18.0,27.180008,811.43,20.29
2,65,48,12,Mon,15.0,-60.219986,844.14,21.10
2,65,48,12,Sat,38.0,-73.59998,1622.7999,40.57
2,65,48,12,Sun,30.0,-18.369987,1515.63,37.89
2,65,48,12,Thu,8.0,54.440002,579.52,14.49
2,65,48,12,Tue,11.0,2.7900085,794.82,19.87
2,65,48,12,Wed,16.0,-3.9499893,927.13,23.18
2,65,49,12,Fri,18.0,78.66,1102.09,27.55
2,65,49,12,Mon,16.0,51.58001,1001.58997,25.04
2,65,49,12,Sat,52.0,95.63001,2278.19,56.95
2,65,49,12,Sun,32.0,-35.719986,1606.19,40.15
2,65,49,12,Thu,23.0,16.230011,1225.4199,30.64
2,65,49,12,Tue,18.0,-12.779991,910.51996,22.76
2,65,49,12,Wed,12.0,35.420006,754.02997,18.85
2,65,50,12,Fri,51.0,-30.059982,2036.7899,50.92
