CATEGORY,SUBCATEGORY,Week number,Month number,Week day,QUANTITY,BONUSES_SPENT,COST (without bonuses),BONUSES_RECIVE
2,2,17,5,Fri,63.0,512.58,4710.72,117.77
2,2,17,5,Mon,41.0,525.32,4075.04,101.88
2,2,17,5,Sat,83.0,603.53,5807.0,145.18
2,2,17,5,Sun,89.0,773.74,7028.83,175.72
2,2,17,5,Thu,49.0,462.59,4428.05,110.70
2,2,17,5,Tue,37.0,424.31,3507.8,87.70
2,2,17,5,Wed,52.0,635.64,4434.3,110.86
2,2,18,5,Fri,48.0,549.82996,4043.09,101.08
2,2,18,5,Mon,56.0,428.66998,4233.3,105.83
2,2,18,5,Sat,53.0,480.7,4074.85,101.87
2,2,18,5,Sun,62.0,498.54004,4742.1,118.55
2,2,18,5,Thu,63.0,520.52997,4326.9,108.17
2,2,18,5,Tue,29.0,188.41,2564.29,64.11
2,2,18,5,Wed,62.0,544.57,4376.62,109.42
2,2,19,5,Fri,71.0,601.42,5069.98,126.75
2,2,19,5,Mon,59.0,510.19998,4641.71,116.04
2,2,19,5,Sat,81.0,575.54004,5662.73,141.57
2,2,19,5,Sun,93.0,777.29004,6128.06,153.20
2,2,19,5,Thu,71.0,640.1,5756.33,143.91
2,2,19,5,Tue,51.0,548.12006,4585.55,114.64
2,2,19,5,Wed,56.0,385.13,3999.02,99.98
2,2,20,5,Fri,59.0,521.39,4446.77,111.17
2,2,20,5,Mon,69.0,565.10004,4868.6,121.72
2,2,20,5,Sat,61.0,475.75,4516.54,112.91
2,2,20,5,Sun,68.0,490.34998,5347.35,133.68
2,2,20,5,Thu,54.0,472.15,4056.13,101.40
2,2,20,5,Tue,54.0,423.9,4214.0103,105.35
2,2,20,5,Wed,54.0,603.60004,4465.68,111.64
2,2,21,5,Mon,49.0,571.91003,4270.55,106.76
2,2,21,5,Tue,57.0,636.16003,4748.92,118.72
2,2,21,5,Wed,55.0,402.00995,3986.74,99.67
2,65,17,5,Fri,17.0,-0.45999146,1142.85,28.57
