CATEGORY,SUBCATEGORY,Week number,Month number,Week day,QUANTITY,BONUSES_SPENT,COST (without bonuses),BONUSES_RECIVE
2,2,0,1,Fri,92.0,520.87,5047.2397,126.18
2,2,0,1,Mon,86.0,498.56,4304.82,107.62
2,2,0,1,Sat,65.0,407.11,3641.19,91.03
2,2,0,1,Sun,75.0,358.33,4353.96,108.85
2,2,0,1,Thu,57.0,307.87,3362.73,84.07
2,2,0,1,Tue,72.0,434.31,3725.51,93.14
2,2,0,1,Wed,76.0,415.37,4321.1997,108.03
2,2,1,1,Fri,99.0,534.95,5093.27,127.33
2,2,1,1,Mon,49.0,577.82,3553.9,88.85
2,2,1,1,Sat,112.0,631.34,4705.75,117.64
2,2,1,1,Sun,88.0,501.84,4544.37,113.61
2,2,1,1,Thu,74.0,464.94,3776.93,94.42
2,2,1,1,Tue,62.0,202.76999,3167.8298,79.20
2,2,1,1,Wed,56.0,448.79,3624.8098,90.62
2,2,2,1,Fri,69.0,616.13,5001.21,125.03
2,2,2,1,Mon,45.0,393.69,3038.38,75.96
2,2,2,1,Sat,119.0,570.51,4692.48,117.31
2,2,2,1,Sun,93.0,504.88998,5005.08,125.13
2,2,2,1,Thu,61.0,331.8,3349.5999,83.74
2,2,2,1,Tue,61.0,370.64,3451.68,86.29
2,2,2,1,Wed,55.0,342.59,3439.17,85.98
2,2,3,1,Fri,79.0,511.03,4743.14,118.58
2,2,3,1,Mon,60.0,301.05,3645.0598,91.13
2,2,3,1,Sat,87.0,456.66,4168.46,104.21
2,2,3,1,Sun,96.0,558.52,4439.04,110.98
2,2,3,1,Thu,56.0,460.13,3583.41,89.59
2,2,3,1,Tue,66.0,524.79004,4147.4497,103.69
2,2,3,1,Wed,66.0,398.9,3716.8699,92.92
2,2,4,1,Mon,46.0,450.32,3389.27,84.73
2,2,4,1,Tue,53.0,269.8,2966.5698,74.16
2,65,0,1,Fri,28.0,11.570007,1130.21,28.26
2,65,0,1,Mon,35.0,30.870026,1356.18,33.90
2,65,0,1,Sat,18.0,-4.3299866,822.87,20.57
2,65,0,1,Sun,27.0,27.430004,1200.43,30.01
2,65,0,1,Thu,28.0,9.350014,1018.12,25.45
2,65,0,1,Tue,25.0,39.63001,968.94,24.22
2,65,0,1,Wed,31.0,72.62002,1489.31,37.23
2,65,1,1,Fri,19.0,28.90001,1093.18,27.33
2,65,1,1,Mon,10.0,-5.1499977,373.51,9.34
2,65,1,1,Sat,28.0,-9.869991,1121.32,28.03
2,65,1,1,Sun,19.0,10.480019,964.89,24.12
2,65,1,1,Thu,12.0,-4.3399773,723.72,18.09
2,65,1,1,Tue,22.0,7.5900307,1231.9401,30.80
2,65,1,1,Wed,20.0,11.17001,1018.12,25.45
2,65,2,1,Fri,14.0,5.9900055,1005.18,25.13
2,65,2,1,Mon,16.0,-14.349995,680.85,17.02
2,65,2,1,Sat,22.0,61.410007,1048.05,26.20
2,65,2,1,Sun,16.0,6.0300217,910.87,22.77
2,65,2,1,Thu,17.0,43.730015,915.71,22.89
2,65,2,1,Tue,19.0,2.0300293,973.78,24.34
2,65,2,1,Wed,16.0,1.5100021,626.83,15.67
2,65,3,1,Fri,16.0,-0.22998047,893.88,22.35
2,65,3,1,Mon,8.0,9.710014,582.49,14.56
2,65,3,1,Sat,20.0,-54.229984,987.4,24.69
2,65,3,1,Sun,12.0,-19.139992,618.73,15.47
2,65,3,1,Thu,17.0,-20.57999,863.95,21.60
2,65,3,1,Tue,14.0,-6.1999893,569.55,14.24
2,65,3,1,Wed,15.0,-13.959988,755.91,18.90
2,65,4,1,Mon,14.0,28.92001,773.69,19.34
2,65,4,1,Tue,8.0,-16.559998,481.55,12.04
3,3,0,1,Fri,2.0,17.800018,1062.66,26.57
3,3,0,1,Mon,2.0,7.369995,1082.94,27.07
3,3,0,1,Thu,2.0,72.360016,2107.52,52.69
3,3,0,1,Tue,2.0,45.080017,1062.66,26.57
3,3,0,1,Wed,1.0,65.360016,560.51,14.01
3,3,1,1,Sat,1.0,-50.99002,502.15,12.55
3,3,1,1,Thu,2.0,-12.910004,1062.66,26.57
3,3,1,1,Tue,2.0,7.369995,1082.94,27.07
3,3,1,1,Wed,2.0,-12.910004,1062.66,26.57
3,3,2,1,Fri,2.0,17.800018,1062.66,26.57
3,3,2,1,Mon,2.0,-81.70004,1024.58,25.61
3,3,2,1,Sun,1.0,7.369995,560.51,14.01
3,3,2,1,Thu,1.0,-50.99002,502.15,12.55
3,3,2,1,Tue,1.0,-30.710022,522.43,13.06
3,3,3,1,Fri,1.0,7.0,502.15,12.55
3,3,3,1,Mon,1.0,27.279999,522.43,13.06
3,3,3,1,Sat,2.0,34.649994,1082.94,27.07
3,3,3,1,Sun,1.0,65.360016,560.51,14.01
3,3,3,1,Wed,2.0,92.640015,1082.94,27.07
3,3,4,1,Mon,5.0,234.16006,2764.47,69.11
3,3,4,1,Tue,2.0,7.0,1024.58,25.61
3,119,0,1,Sat,1.0,39.32007,1165.78,29.14
3,119,0,1,Thu,1.0,39.32007,1165.78,29.14
3,119,0,1,Wed,3.0,240.45996,3654.22,91.36
3,119,1,1,Fri,1.0,39.32007,1165.78,29.14
3,119,1,1,Mon,1.0,117.76001,1244.22,31.11
3,119,1,1,Sun,2.0,78.64014,2331.56,58.29
3,119,1,1,Tue,2.0,61.450073,2331.56,58.29
3,119,1,1,Wed,1.0,22.130005,1165.78,29.14
3,119,2,1,Fri,1.0,39.32007,1165.78,29.14
3,119,2,1,Sat,1.0,39.32007,1165.78,29.14
3,119,2,1,Sun,3.0,100.77014,3497.34,87.43
3,119,2,1,Thu,1.0,22.130005,1165.78,29.14
3,119,2,1,Wed,2.0,78.64014,2331.56,58.29
3,119,3,1,Mon,2.0,139.89001,2410.0,60.25
3,119,3,1,Sat,2.0,139.89001,2410.0,60.25
3,119,3,1,Sun,3.0,39.32007,1165.78,29.14
3,119,3,1,Thu,2.0,139.89001,2410.0,60.25
3,119,3,1,Wed,1.0,22.130005,1165.78,29.14
3,119,4,1,Mon,1.0,117.76001,1244.22,31.11
3,448,0,1,Mon,3.0,698.8301,4002.08,100.05
3,448,0,1,Sat,4.0,748.76013,5157.8,128.94
3,448,0,1,Sun,6.0,-34.430054,7068.67,176.72
3,448,0,1,Thu,3.0,298.26,3601.51,90.04
3,448,0,1,Tue,1.0,113.77002,1155.72,28.89
3,448,0,1,Wed,2.0,56.81006,2445.79,61.14
3,448,1,1,Fri,4.0,1385.1403,5425.2603,135.63
3,448,1,1,Mon,4.0,-395.08008,4624.12,115.60
3,448,1,1,Sat,4.0,-528.19006,4491.01,112.28
3,448,1,1,Sun,5.0,1156.2102,6848.4404,171.21
3,448,1,1,Thu,8.0,36.22998,3467.16,86.68
3,448,1,1,Tue,3.0,431.37,3734.62,93.37
3,448,1,1,Wed,2.0,291.38,2311.44,57.79
3,448,2,1,Fri,1.0,-19.339966,1022.61,25.57
3,448,2,1,Mon,2.0,291.38,2311.44,57.79
3,448,2,1,Sat,2.0,-153.83997,4624.12,115.60
3,448,2,1,Sun,3.0,698.8301,4002.08,100.05
3,448,2,1,Thu,2.0,120.650024,2445.79,61.14
3,448,2,1,Tue,1.0,445.07007,1423.18,35.58
3,448,3,1,Fri,1.0,44.5,1022.61,25.57
3,448,3,1,Sat,1.0,76.150024,1423.18,35.58
3,448,3,1,Sun,6.0,360.50012,6180.41,154.51
3,448,3,1,Thu,2.0,-38.67993,2045.22,51.13
3,448,3,1,Tue,2.0,-210.65002,2178.33,54.46
3,448,3,1,Wed,6.0,-917.6902,5512.38,137.81
3,448,4,1,Mon,1.0,76.150024,1423.18,35.58
3,448,4,1,Tue,1.0,-324.42004,1022.61,25.57
3,851,0,1,Fri,1.0,-215.10004,680.85,17.02
3,851,0,1,Sat,5.0,-898.42004,680.85,17.02
3,851,1,1,Sun,2.0,261.45,2521.57,63.04
3,851,1,1,Tue,1.0,0.0,680.85,17.02
3,851,2,1,Sat,2.0,1836.06,3197.76,79.94
3,851,2,1,Sun,1.0,-898.42004,680.85,17.02
3,851,2,1,Thu,1.0,702.93,1598.88,39.97
3,851,2,1,Tue,1.0,19.609985,1598.88,39.97
3,851,3,1,Sat,1.0,918.03,1598.88,39.97
4,4,0,1,Fri,16.0,111.760025,958.96,23.97
4,4,0,1,Mon,26.0,115.54003,1149.4,28.74
4,4,0,1,Sat,13.0,84.34002,757.18005,18.93
4,4,0,1,Sun,23.0,91.60002,1127.92,28.20
4,4,0,1,Thu,22.0,112.94003,1082.9401,27.07
4,4,0,1,Tue,21.0,90.42002,1003.94,25.10
4,4,0,1,Wed,14.0,112.04002,956.78,23.92
4,4,1,1,Fri,19.0,85.64002,1070.4,26.76
4,4,1,1,Mon,14.0,95.34003,773.10004,19.33
4,4,1,1,Sat,18.0,69.66002,826.04004,20.65
4,4,1,1,Sun,18.0,70.900024,947.62,23.69
4,4,1,1,Thu,11.0,59.600014,690.72003,17.27
4,4,1,1,Tue,7.0,46.92001,380.88,9.52
4,4,1,1,Wed,8.0,66.82002,516.2,12.91
4,4,2,1,Fri,15.0,90.50002,841.96,21.05
4,4,2,1,Mon,8.0,47.640015,455.30002,11.38
4,4,2,1,Sat,33.0,143.42004,1400.74,35.02
4,4,2,1,Sun,18.0,98.940025,1142.64,28.57
4,4,2,1,Thu,12.0,88.400024,714.60004,17.87
4,4,2,1,Tue,10.0,58.900013,628.62,15.72
4,4,2,1,Wed,15.0,111.58003,907.22003,22.68
4,4,3,1,Fri,12.0,75.96002,648.14,16.20
4,4,3,1,Mon,13.0,81.96002,826.04004,20.65
4,4,3,1,Sat,29.0,114.68003,1337.66,33.44
