CATEGORY,SUBCATEGORY,Week number,Month number,Week day,QUANTITY,BONUSES_SPENT,COST (without bonuses),BONUSES_RECIVE
2,2,8,3,Fri,64.0,219.71994,3278.81,81.97
2,2,8,3,Sat,102.0,269.0699,4425.67,110.64
2,2,8,3,Sun,77.0,247.33992,3857.88,96.45
2,2,8,3,Thu,46.0,378.5499,3368.6199,84.22
2,2,8,3,Wed,72.0,369.23987,4015.77,100.39
2,2,9,3,Fri,71.0,438.76987,4407.28,110.18
2,2,9,3,Mon,50.0,231.43991,3184.03,79.60
2,2,9,3,Sat,88.0,287.5399,3954.8298,98.87
2,2,9,3,Sun,74.0,380.2999,3907.14,97.68
2,2,9,3,Thu,45.0,213.68993,2843.75,71.09
2,2,9,3,Tue,72.0,435.77988,4432.41,110.81
2,2,9,3,Wed,63.0,310.5499,3779.15,94.48
2,2,10,3,Fri,80.0,344.3299,3932.0698,98.30
2,2,10,3,Mon,44.0,329.61987,2679.15,66.98
2,2,10,3,Sat,86.0,411.1399,4294.71,107.37
2,2,10,3,Sun,71.0,296.67987,4297.28,107.43
2,2,10,3,Thu,74.0,426.05988,3767.47,94.19
2,2,10,3,Tue,35.0,95.40996,2289.81,57.25
2,2,10,3,Wed,51.0,218.32993,3321.53,83.04
2,2,11,3,Fri,65.0,174.19992,2970.17,74.25
2,2,11,3,Mon,52.0,301.2899,3443.21,86.08
2,2,11,3,Sat,76.0,309.9699,4455.17,111.38
2,2,11,3,Sun,67.0,362.6999,3657.27,91.43
2,2,11,3,Thu,50.0,249.43991,2850.69,71.27
2,2,11,3,Tue,68.0,275.6299,3032.88,75.82
2,2,11,3,Wed,53.0,282.06992,3028.54,75.71
2,2,12,3,Fri,65.0,437.45987,3767.47,94.19
2,2,12,3,Mon,42.0,429.0299,3255.8499,81.40
2,2,12,3,Thu,48.0,255.60992,3515.43,87.89
2,2,12,3,Tue,33.0,263.78992,2708.42,67.71
2,2,12,3,Wed,44.0,245.99991,2690.63,67.27
2,65,8,3,Fri,14.0,28.40002,844.97,21.12
2,65,8,3,Sat,21.0,26.060036,878.52,21.96
2,65,8,3,Sun,15.0,32.070026,739.35,18.48
2,65,8,3,Thu,11.0,60.23002,554.22,13.86
2,65,8,3,Wed,11.0,-3.479988,693.33,17.33
2,65,9,3,Fri,8.0,-8.749989,448.53998,11.21
2,65,9,3,Mon,12.0,47.00003,816.4,20.41
2,65,9,3,Sat,16.0,14.360039,1001.53,25.04
2,65,9,3,Sun,13.0,-9.189987,505.74,12.64
2,65,9,3,Thu,6.0,17.440014,459.78,11.49
2,65,9,3,Tue,6.0,-9.489979,770.38,19.26
2,65,9,3,Wed,7.0,10.960007,323.07,8.08
2,65,10,3,Fri,16.0,20.390022,785.31,19.63
2,65,10,3,Mon,13.0,24.850029,862.36,21.56
2,65,10,3,Sat,24.0,51.04003,1059.96,26.50
2,65,10,3,Sun,5.0,-28.59999,552.93,13.82
2,65,10,3,Thu,10.0,50.570015,659.84,16.50
2,65,10,3,Tue,13.0,52.55003,873.6,21.84
2,65,10,3,Wed,9.0,-4.7299805,582.79,14.57
2,65,11,3,Fri,13.0,58.28002,797.78,19.94
2,65,11,3,Mon,13.0,55.980022,739.35,18.48
2,65,11,3,Sat,17.0,52.99003,816.4,20.41
2,65,11,3,Sun,13.0,12.64003,615.11,15.38
2,65,11,3,Thu,6.0,38.04003,630.04004,15.75
2,65,11,3,Tue,9.0,70.42001,493.33002,12.33
2,65,11,3,Wed,13.0,35.34002,785.31,19.63
2,65,12,3,Fri,8.0,-31.84999,367.8,9.19
2,65,12,3,Mon,7.0,3.7200165,398.89,9.97
2,65,12,3,Thu,4.0,6.480007,260.95,6.52
2,65,12,3,Tue,7.0,19.900013,462.24,11.56
2,65,12,3,Wed,11.0,14.980015,705.8,17.64
3,3,8,3,Fri,1.0,-51.609985,556.25,13.91
3,3,8,3,Sat,2.0,-45.099976,1114.95,27.87
3,3,8,3,Sun,5.0,24.799988,2841.42,71.04
3,3,9,3,Sun,1.0,-51.609985,556.25,13.91
3,3,9,3,Thu,5.0,-2.209961,1673.65,41.84
3,3,9,3,Tue,1.0,-51.609985,556.25,13.91
3,3,9,3,Wed,1.0,4.0599976,556.25,13.91
3,3,10,3,Fri,1.0,-51.609985,556.25,13.91
3,3,10,3,Sat,2.0,-100.76996,1114.95,27.87
3,3,10,3,Thu,1.0,-49.159973,558.7,13.97
3,3,10,3,Tue,1.0,-51.609985,556.25,13.91
3,3,11,3,Fri,1.0,-51.609985,556.25,13.91
3,3,11,3,Mon,2.0,102.21997,1170.22,29.26
3,3,11,3,Sat,1.0,79.96997,613.97,15.35
3,3,11,3,Sun,1.0,61.77997,613.97,15.35
3,3,11,3,Thu,1.0,24.700012,558.7,13.97
3,3,11,3,Tue,2.0,28.359985,1170.22,29.26
3,3,12,3,Mon,1.0,24.700012,558.7,13.97
3,3,12,3,Wed,3.0,130.06995,1786.6399,44.67
3,119,8,3,Fri,3.0,133.12976,5675.16,141.88
3,119,8,3,Sun,2.0,172.2799,2343.66,58.59
3,119,8,3,Thu,2.0,95.00989,2278.33,56.96
3,119,8,3,Wed,3.0,26.119873,3384.83,84.62
3,119,9,3,Fri,1.0,60.21997,1171.83,29.30
3,119,9,3,Mon,4.0,84.84985,4503.33,112.58
3,119,9,3,Thu,1.0,-5.1099854,1106.5,27.66
3,119,9,3,Tue,1.0,46.72998,1106.5,27.66
3,119,9,3,Wed,2.0,160.33984,2343.66,58.59
3,119,10,3,Fri,2.0,95.00989,2278.33,56.96
3,119,10,3,Mon,2.0,106.94995,2278.33,56.96
3,119,10,3,Sat,1.0,60.21997,1171.83,29.30
3,119,10,3,Sun,2.0,172.2799,2343.66,58.59
3,119,10,3,Thu,2.0,-16.160034,2219.0,55.48
3,119,10,3,Tue,1.0,112.05994,1171.83,29.30
3,119,10,3,Wed,1.0,60.21997,1171.83,29.30
3,119,11,3,Fri,3.0,107.839966,3390.83,84.77
3,119,11,3,Mon,4.0,203.50977,4621.9897,115.55
3,119,11,3,Sun,6.0,167.85974,6769.66,169.24
3,119,11,3,Tue,2.0,101.00989,2284.33,57.11
3,119,11,3,Wed,3.0,32.119873,3390.83,84.77
3,119,12,3,Fri,2.0,43.16992,2278.33,56.96
3,119,12,3,Mon,4.0,161.22986,3456.16,86.40
3,119,12,3,Thu,2.0,99.45996,2219.0,55.48
3,119,12,3,Tue,1.0,0.89001465,1112.5,27.81
3,119,12,3,Wed,3.0,121.329956,3456.16,86.40
3,448,8,3,Fri,2.0,147.07,4313.4497,107.84
3,448,8,3,Sat,2.0,14.670044,2262.33,56.56
3,448,8,3,Sun,3.0,278.18005,3466.45,86.66
3,448,8,3,Thu,2.0,-50.629944,2197.03,54.93
3,448,8,3,Wed,3.0,29.470032,3255.2397,81.38
3,448,9,3,Fri,1.0,80.29004,1204.12,30.10
3,448,9,3,Mon,4.0,395.58997,4378.75,109.47
3,448,9,3,Sat,0.0,-78.619995,1985.82,49.65
3,448,9,3,Thu,4.0,44.460083,4394.0596,109.85
3,448,9,3,Wed,2.0,132.39996,2051.1199,51.28
3,448,10,3,Fri,2.0,-261.83997,1985.82,49.65
3,448,10,3,Mon,1.0,80.099976,1058.21,26.46
3,448,10,3,Sat,5.0,-312.78992,5306.36,132.66
3,448,10,3,Sun,4.0,81.77002,4248.15,106.20
3,448,10,3,Thu,2.0,197.69995,2116.42,52.91
3,448,10,3,Tue,3.0,94.77002,3320.54,83.01
3,448,10,3,Wed,1.0,80.099976,1058.21,26.46
3,448,11,3,Fri,5.0,199.56006,5452.2695,136.31
3,448,11,3,Mon,2.0,-50.820007,2051.1199,51.28
3,448,11,3,Sat,11.0,535.1401,10969.84,274.25
3,448,11,3,Sun,4.0,373.40002,4394.0596,109.85
3,448,11,3,Thu,3.0,147.39001,3189.94,79.75
3,448,11,3,Tue,5.0,636.91003,5598.1797,139.95
3,448,11,3,Wed,4.0,227.68005,4394.0596,109.85
3,448,12,3,Fri,1.0,80.099976,1058.21,26.46
3,448,12,3,Mon,4.0,373.08002,5517.57,137.94
3,448,12,3,Thu,0.0,160.39001,2262.33,56.56
3,448,12,3,Tue,2.0,-78.619995,1985.82,49.65
3,448,12,3,Wed,1.0,117.599976,1058.21,26.46
3,851,8,3,Thu,1.0,-11.790039,656.6,16.41
3,851,9,3,Mon,1.0,30.089966,674.62,16.87
3,851,10,3,Fri,1.0,30.089966,674.62,16.87
3,851,10,3,Thu,1.0,12.069946,656.6,16.41
3,851,10,3,Tue,1.0,12.069946,656.6,16.41
3,851,10,3,Wed,1.0,-11.790039,656.6,16.41
3,851,11,3,Fri,1.0,-11.790039,656.6,16.41
3,851,11,3,Thu,1.0,-11.790039,656.6,16.41
3,851,12,3,Fri,1.0,12.069946,656.6,16.41
3,851,12,3,Mon,1.0,-11.790039,656.6,16.41
3,851,12,3,Thu,1.0,-11.790039,656.6,16.41
3,851,12,3,Tue,1.0,-11.790039,656.6,16.41
4,4,8,3,Fri,4.0,24.84,260.51,6.51
4,4,8,3,Sat,22.0,142.8,1201.94,30.05
4,4,8,3,Sun,12.0,65.009995,639.23,15.98
4,4,8,3,Thu,6.0,60.05,592.8,14.82
4,4,8,3,Wed,8.0,48.739998,441.91,11.05
4,4,9,3,Fri,11.0,68.22,584.20996,14.61
4,4,9,3,Mon,10.0,56.23,592.58997,14.81
4,4,9,3,Sat,9.0,59.86,529.61,13.24
4,4,9,3,Sun,7.0,76.600006,592.58997,14.81
4,4,9,3,Thu,9.0,63.280003,466.41998,11.66
4,4,9,3,Tue,16.0,83.32,781.95,19.55
4,4,9,3,Wed,24.0,151.58,1248.58,31.21
4,4,10,3,Fri,12.0,54.64,584.20996,14.61
4,4,10,3,Mon,6.0,36.8,323.91,8.10
4,4,10,3,Sat,5.0,63.070004,457.83,11.45
4,4,10,3,Sun,9.0,51.27,529.4,13.24
4,4,10,3,Thu,12.0,68.59,711.01,17.78
4,4,10,3,Tue,9.0,61.45,529.61,13.24
4,4,10,3,Wed,9.0,34.929996,513.06,12.83
4,4,11,3,Fri,5.0,58.71,458.66998,11.47
4,4,11,3,Mon,7.0,73.25,474.8,11.87
4,4,11,3,Sat,11.0,73.2,592.8,14.82
4,4,11,3,Sun,11.0,72.97,663.95,16.60
4,4,11,3,Thu,7.0,54.690002,474.59,11.86
4,4,11,3,Tue,8.0,50.12,450.08,11.25
4,4,11,3,Wed,6.0,31.16,394.85,9.87
4,4,12,3,Fri,8.0,51.29,466.42,11.66
4,4,12,3,Mon,6.0,38.18,332.08,8.30
4,4,12,3,Thu,8.0,83.39,592.58997,14.81
4,4,12,3,Tue,7.0,56.49,466.41998,11.66
4,4,12,3,Wed,8.0,61.22,592.38,14.81
5,5,8,3,Fri,9.0,241.28001,1803.5499,45.09
5,5,8,3,Sat,12.0,312.86002,2230.26,55.76
5,5,8,3,Sun,17.0,276.46002,2551.92,63.80
5,5,8,3,Thu,6.0,146.26001,1200.2,30.00
5,5,8,3,Wed,6.0,139.07,1200.2,30.00
5,5,9,3,Fri,6.0,311.02002,2101.05,52.53
5,5,9,3,Mon,22.0,550.59,4008.69,100.22
5,5,9,3,Sat,3.0,42.08,404.4,10.11
5,5,9,3,Sun,7.0,171.25002,1389.84,34.75
5,5,9,3,Thu,4.0,175.76001,1222.51,30.56
5,5,9,3,Tue,46.0,961.7301,7697.57,192.44
5,5,9,3,Wed,23.0,652.25,3971.53,99.29
5,5,10,3,Fri,6.0,73.990005,1007.75,25.19
5,5,10,3,Mon,2.0,193.12001,1023.56,25.59
5,5,10,3,Sat,9.0,168.86002,1794.24,44.86
5,5,10,3,Sun,11.0,237.46002,2192.14,54.80
5,5,10,3,Thu,5.0,137.79001,1001.25,25.03
